Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m?) Missing HI and AK,GDP 2018,"Percentage Living in Poverty, All Ages, 2016",% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),Social Association Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Smokers (adults),% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Chronic Respiratory Disease: mortality rate per 100K (2014),Avg Temp 10 Before First-Current,Stay At Home Order After First Case
23,1,55601,23.6740346,15.5626697,19.3431773,0.48020719,1.22479812,0.11150879,2.965774,74.308016,51.448715,42.0021623,91.8,37.2,18449.72,1483414,13.5,3.62907886,19.3,5.23459727,12.0712021,11.7,No,14.6634615,20.8829873,4.74388887,18.0815572,33.3,34.7,69.1301241,81.79,19.95,1
87,2,218022,21.6079111,20.4433498,8.78397593,0.77239912,1.15034263,0.067,4.64677877,83.1113374,51.5383769,42.2790991,114.6,65.5,18855.39,5774289,11.7,3.61538216,13.9,4.41776668,10.2056173,10.3,No,13.5662009,17.5091344,4.2245192,17.4890326,31,26.5,73.713549,54.28,20.87317073,1
11,0,24881,20.8673285,19.4204413,48.0326353,0.6591375,0.45416181,0.18488003,4.27635545,45.6412524,47.2167517,67.7896347,31,13.4,18611.37,787425,29.9,5.17138421,43.9,5.68141002,7.51879699,11.5,No,14.5833333,29.5918017,5.43027886,21.9999845,41.7,23.5,53.1667699,69.82,18.08181818,1
17,0,22400,20.4776786,16.4732143,21.1205357,0.4375,0.23660714,0.11607143,2.625,74.5892857,46.78125,68.3526075,36.8,14.4,18234.91,364197,20.1,3.97182773,27.8,4.36858051,8.38185989,11.2,No,10.4964539,19.4397242,4.59148244,19.1141999,37.6,33.5,16.2513637,84.49,17.67692308,1
16,0,57840,23.153527,18.2365145,1.4626556,0.65352697,0.31984786,0.12102351,9.57123098,86.8862379,50.7261411,89.951502,88.9,37,17239.34,849114,14.1,3.51115732,18,4.43026233,8.44638271,11.7,No,10.5480116,21.7452928,4.86080763,19.208672,33.8,30.3,15.6344859,87.05,17.77741935,1
8,0,10138,21.0791083,16.3839022,69.5403433,0.83842967,0.18741369,0.74965476,7.96014993,21.2172026,45.4823437,51.3743815,17.5,7.2,18713.82,244183,32.6,4.69011725,68.3,7.41019599,7.76020953,11.2,No,18.1434599,30.9991019,5.35915934,22.894664,37.2,24.6,2.50137438,51.49,19.76,1
8,0,19680,22.245935,20.2997968,44.5579268,0.37601626,1.31605691,0.0508,1.50914634,51.2550813,53.4298781,71.2321574,27,12.8,18838.24,570686,24.8,4.79021764,36.3,5.42359558,9.07944515,10.6,Yes,13.1596091,27.9106732,5.4008062,21.765335,43.3,39.5,48.5797489,75.09,19.85483871,1
62,0,114277,21.6097728,17.717476,20.8502148,0.53991617,0.96432353,0.11025841,3.91067319,72.0249919,51.9465859,33.6968256,195.7,88,17372.81,3950436,17.1,4.65283216,26.5,5.02389645,14.469005,11.8,No,13.7341913,23.1077332,4.88037674,20.6125604,38.5,31.7,47.7212158,87.32,16.19736842,1
216,10,33615,20.800238,19.5210472,39.5656701,0.30641083,1.32678864,0.0446,2.56135654,55.2312956,52.1255392,49.1480345,57.4,28.5,18293.61,1941217,19.9,3.90809112,30.7,4.74493214,17.7972889,11.4,No,15.9566787,23.9954736,4.94117836,19.3929271,40.1,30.1,61.8646792,84,18.5,1
9,0,26032,19.1687154,22.9717271,4.24093424,0.66072526,0.33804548,0.0307,1.62108175,91.6564229,50.4609711,85.736273,46.9,29.4,16656.25,498013,16.8,3.57081397,24.7,4.70846503,8.5083343,11.4,No,13,20.6984706,4.7756141,17.4986738,35,31.3,33.4295279,93.04,14.66774194,1
33,0,44153,23.7605599,16.7848164,9.96761262,0.56621294,0.48694313,0.17439359,7.92698118,80.1395149,50.925192,86.7447242,63,27.8,18369.94,837887,18.3,3.60957075,23.3,5.10766795,15.204121,11.2,No,13.2972323,21.1854629,4.7733823,20.1889791,37.7,33.2,46.2937928,88.02,17.98064516,1
12,0,12841,19.9906549,22.9966514,41.5154583,0.18690133,0.17911378,0,1.04353244,56.3896893,52.7295382,100,15.2,8,18460.04,547773,22.7,5.53898594,32.1,5.86009572,19.3124759,10.1,Yes,11.0611511,24.8635313,4.93320463,18.7932483,41.3,36.2,28.9342665,60.19,19.52,1
21,0,23920,21.7182274,19.8704013,44.3269231,0.52675585,0.43478261,0.0209,1.36287625,52.5083612,52.6421405,75.9803352,20.9,10.2,18736.77,784519,29,7.47344959,31.7,8.46898263,16.1939958,10.4,No,12.0355835,25.2350848,5.12733724,20.5796553,34.1,34.6,25.2700035,69.3,19.65652174,1
14,0,13275,20.2485876,20.7231638,13.8305085,0.54237288,0.24105461,0,3.01318267,80.527307,51.0960452,100,23.1,11.2,18131.45,339246,18.9,3.90742915,25.8,5.07925861,10.4735543,10.6,Yes,11.1835974,23.7959174,4.95896953,19.6203542,40.6,32.6,63.7812231,76.28,17.39354839,1
12,0,14987,22.7663976,19.4501902,2.86915327,0.49376126,0.22019083,0.0734,2.4821512,92.7937546,50.4837526,100,26.7,12,17429.52,294019,17.2,4.24865053,22.9,4.77568008,8.05369128,11,No,12.9391602,19.2844078,4.54670039,18.3744658,37.3,31.3,41.4841037,92.84,16.3483871,1
36,0,51909,23.656784,16.9546707,17.1877709,1.41016009,1.63555453,0.39684833,7.5805737,69.8549385,50.8351153,47.1950829,73.6,32.9,19000.67,1470262,14.4,3.94869578,21.9,4.65877263,14.6508848,10.9,No,12.1032258,19.4258268,4.42011979,17.4447576,34.2,30.8,53.7238728,79.42,20.70666667,1
11,1,54762,20.7625726,19.9298784,15.99832,0.66286841,0.58982506,0.0749,2.67521274,78.3974289,52.048866,43.8946866,91.8,43.5,16312.01,2755838,16.7,4.61776593,21,4.75820092,16.8807339,10.7,No,13.7299254,20.9144544,4.60863763,18.6588211,30.6,36.6,55.7323437,80.43,15.17096774,1
5,0,12277,20.7705466,22.4973528,45.6626212,0.51315468,0.21177812,0.0326,2.15036247,50.3054492,52.0974179,80.9495011,15.6,8.3,18969.49,449646,28.1,5.22919448,40.1,4.45220358,7.21790039,10.3,No,13.3595285,28.6087478,5.43375281,21.107513,43,40.7,37.0199577,76.4,20.48695652,1
18,1,10715,16.5842277,23.1544564,30.4713019,0.59729351,0.13999067,0.1679888,2.51983201,65.3849743,49.6126925,100,17.7,10,18401.97,177103,17.5,4.18190128,30.1,4.43436422,10.2287521,11,Yes,14.6254459,24.9191033,5.08901632,20.3999656,40.3,35.3,6.42170032,78.67,17.41,1
16,0,36986,21.8704375,21.0620235,12.4425458,0.69215379,0.46504083,0.0108,1.74931055,83.1882334,51.6141243,69.651794,36.6,18.3,19127.55,1146899,19.6,4.57834411,29.5,4.9163307,12.6711959,10.5,No,12.8458498,22.6688063,4.68194045,19.2494515,31.7,35.5,50.234344,74.47,20.65862069,1
3,0,13824,22.8587963,19.0176505,23.2204861,0.62934028,1.12123843,0.0434,2.31481482,70.9490741,51.7216435,100,22.8,11.1,18907.8,408219,20.5,4.08066053,30.8,5.49026103,10.0929998,10.7,No,9.95391705,22.1469362,4.74145604,18.6469296,38,33.5,22.3500647,107.91,19.6862069,1
40,1,83442,22.4790873,18.5110616,1.20562786,0.64595767,0.67232329,0.0863,4.43301934,91.8554205,50.5704561,73.2395592,109.4,50.4,16748.51,2548547,14.9,3.28046524,19.7,4.43558471,11.7213461,11.6,No,12.3069498,21.7864937,4.68142137,17.9010712,36.9,36.7,41.6536079,89.78,15.67714286,1
